index_aleatoire;sexe;age_client;enfant_conduite_accompagnee;enfants;tranches_revenus;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;tranches_devis
1;M;61;Non;Non;[40k€ - 60k€];Private;Van;yes;0;1;Highly Urban/ Urban;17/01/2022 08:39;complet;dev_express;[200€ - 400€]
2;F;91;Non;Non;[< 20k€];Commercial;Pickup;yes;0;17;Highly Urban/ Urban;22/01/2022 15:35;complet;dev_integral;[200€ - 400€]
3;F;24;Non;Non;[40k€ - 60k€];Private;Sports Car;no;0;1;z_Highly Rural/ Rural;22/03/2022 13:32;complet;dev_integral;[200€ - 400€]
4;F;81;Non;Non;[60k€ - 80k€];Commercial;Pickup;no;1;0;Highly Urban/ Urban;02/05/2022 22:21;complet;dev_express;[200€ - 400€]
5;M;58;Oui;Oui;[60k€ - 80k€];Private;Minivan;yes;6;9;Highly Urban/ Urban;01/05/2022 13:54;complet;dev_integral;[200€ - 400€]
6;F;38;Oui;Oui;[40k€ - 60k€];Private;Van;yes;1;1;z_Highly Rural/ Rural;03/04/2022 12:30;complet;dev_integral;[200€ - 400€]
7;M;49;Non;Non;[> 100k€];Private;Minivan;no;1;15;Highly Urban/ Urban;05/01/2022 05:59;complet;dev_premium;[400€ - 600€]
8;F;82;Non;Non;[20k€ - 40k€];Commercial;Pickup;no;1;1;Highly Urban/ Urban;13/04/2022 20:56;complet;dev_premium;[200€ - 400€]
9;M;32;Non;Non;[80k€ - 100k€];Private;Minivan;no;0;8;Highly Urban/ Urban;02/04/2022 23:05;complet;dev_integral;[200€ - 400€]
10;M;59;Non;Oui;[< 20k€];Private;Minivan;yes;2;11;Highly Urban/ Urban;08/02/2022 03:10;complet;dev_express;[200€ - 400€]
11;M;69;Oui;Oui;[20k€ - 40k€];Private;Minivan;no;1;1;z_Highly Rural/ Rural;07/04/2022 11:09;complet;dev_integral;[200€ - 400€]
12;F;40;Non;Non;[< 20k€];Private;Pickup;yes;4;16;z_Highly Rural/ Rural;08/03/2022 01:20;complet;dev_integral;[200€ - 400€]
13;M;15;Non;Oui;[> 100k€];Private;Minivan;no;2;16;Highly Urban/ Urban;26/01/2022 18:39;complet;dev_integral;[200€ - 400€]
14;F;44;Non;Non;[60k€ - 80k€];Private;z_SUV;no;5;0;Highly Urban/ Urban;22/04/2022 03:39;complet;dev_integral;[200€ - 400€]
15;F;84;Non;Non;[> 100k€];Private;Pickup;no;0;15;Highly Urban/ Urban;09/03/2022 09:41;complet;dev_integral;[200€ - 400€]
16;M;7;Non;Oui;[20k€ - 40k€];Private;Sports Car;no;5;10;Highly Urban/ Urban;03/02/2022 15:04;complet;dev_express;[200€ - 400€]
17;M;62;Non;Oui;[< 20k€];Private;z_SUV;no;0;1;z_Highly Rural/ Rural;14/01/2022 11:21;complet;dev_integral;[200€ - 400€]
18;F;51;Oui;Oui;[20k€ - 40k€];Private;Minivan;no;0;1;z_Highly Rural/ Rural;23/01/2022 11:52;complet;dev_premium;[400€ - 600€]
19;M;1;Oui;Oui;[60k€ - 80k€];Commercial;z_SUV;no;4;6;Highly Urban/ Urban;18/04/2022 15:10;complet;dev_express;[200€ - 400€]
20;F;55;Non;Non;[60k€ - 80k€];Private;Sports Car;no;0;1;Highly Urban/ Urban;02/02/2022 14:25;complet;dev_integral;[200€ - 400€]
21;M;42;Non;Oui;[< 20k€];Commercial;Pickup;yes;0;8;z_Highly Rural/ Rural;21/01/2022 17:55;complet;dev_integral;[200€ - 400€]
22;M;49;Non;Non;[60k€ - 80k€];Private;Minivan;yes;3;21;Highly Urban/ Urban;18/01/2022 09:50;complet;dev_express;[200€ - 400€]
23;M;36;Non;Oui;[< 20k€];Private;z_SUV;no;1;1;z_Highly Rural/ Rural;23/02/2022 18:30;complet;dev_integral;[200€ - 400€]
24;M;7;Non;Oui;[80k€ - 100k€];Commercial;Pickup;yes;0;10;Highly Urban/ Urban;01/01/2022 05:44;complet;dev_integral;[200€ - 400€]
25;F;60;Non;Oui;[60k€ - 80k€];Commercial;Minivan;no;7;1;Highly Urban/ Urban;23/03/2022 12:28;complet;dev_integral;[200€ - 400€]
26;F;40;Non;Non;[> 100k€];Private;Minivan;no;0;11;z_Highly Rural/ Rural;18/01/2022 19:42;complet;dev_express;[200€ - 400€]
27;F;13;Oui;Oui;[> 100k€];Commercial;Panel Truck;yes;3;1;Highly Urban/ Urban;08/02/2022 17:21;complet;dev_premium;[400€ - 600€]
28;M;11;Non;Non;[40k€ - 60k€];Commercial;Van;yes;2;15;Highly Urban/ Urban;27/03/2022 09:47;complet;dev_integral;[200€ - 400€]
29;F;29;Non;Non;[20k€ - 40k€];Private;z_SUV;no;0;1;z_Highly Rural/ Rural;17/01/2022 23:45;complet;dev_integral;[200€ - 400€]
30;F;48;Non;Non;[80k€ - 100k€];Commercial;Panel Truck;yes;0;6;Highly Urban/ Urban;28/02/2022 13:20;complet;dev_integral;[200€ - 400€]
31;F;78;Non;Non;[> 100k€];Commercial;Panel Truck;yes;1;12;Highly Urban/ Urban;09/02/2022 22:53;complet;dev_premium;[200€ - 400€]
32;F;81;Non;Oui;[40k€ - 60k€];Commercial;Sports Car;no;5;1;Highly Urban/ Urban;06/02/2022 07:52;complet;dev_premium;[400€ - 600€]
33;F;79;Non;Non;[20k€ - 40k€];Private;z_SUV;no;5;7;Highly Urban/ Urban;21/04/2022 16:29;complet;dev_express;[200€ - 400€]
34;M;57;Non;Non;[> 100k€];Commercial;Van;no;4;13;Highly Urban/ Urban;01/02/2022 10:47;complet;dev_integral;[200€ - 400€]
35;F;52;Non;Non;[< 20k€];Private;z_SUV;no;0;25;Highly Urban/ Urban;14/04/2022 07:57;complet;dev_integral;[200€ - 400€]
36;F;35;Non;Non;[80k€ - 100k€];Private;z_SUV;no;0;15;z_Highly Rural/ Rural;07/01/2022 05:37;complet;dev_premium;[200€ - 400€]
37;F;25;Non;Non;[< 20k€];Private;Van;no;4;1;Highly Urban/ Urban;06/03/2022 00:45;complet;dev_express;[200€ - 400€]
38;F;77;Non;Non;[20k€ - 40k€];Private;Pickup;yes;0;1;Highly Urban/ Urban;23/04/2022 04:43;complet;dev_express;[200€ - 400€]
39;F;40;Non;Non;[40k€ - 60k€];Commercial;Minivan;yes;0;9;z_Highly Rural/ Rural;25/02/2022 18:38;complet;dev_integral;[200€ - 400€]
40;M;13;Non;Oui;[20k€ - 40k€];Private;Pickup;yes;3;1;Highly Urban/ Urban;30/04/2022 20:11;complet;dev_express;[200€ - 400€]
41;F;50;Non;Non;[< 20k€];Private;z_SUV;no;0;1;Highly Urban/ Urban;30/04/2022 23:46;complet;dev_express;[200€ - 400€]
42;F;68;Non;Non;[40k€ - 60k€];Commercial;Panel Truck;no;4;10;Highly Urban/ Urban;14/02/2022 17:36;complet;dev_express;[200€ - 400€]
43;M;51;Non;Non;[> 100k€];Private;Minivan;no;6;11;Highly Urban/ Urban;07/01/2022 13:02;complet;dev_integral;[200€ - 400€]
44;F;10;Non;Non;[20k€ - 40k€];Commercial;Panel Truck;no;0;7;Highly Urban/ Urban;24/03/2022 18:04;complet;dev_integral;[200€ - 400€]
45;M;11;Non;Oui;[< 20k€];Commercial;z_SUV;no;4;10;Highly Urban/ Urban;23/04/2022 18:46;complet;dev_integral;[200€ - 400€]
46;M;76;Non;Oui;[60k€ - 80k€];Private;z_SUV;no;7;1;Highly Urban/ Urban;14/03/2022 09:34;complet;dev_integral;[200€ - 400€]
47;M;68;Non;Non;[40k€ - 60k€];Private;Minivan;no;0;0;Highly Urban/ Urban;25/02/2022 05:54;complet;dev_integral;[200€ - 400€]
48;F;52;Non;Non;[40k€ - 60k€];Private;Pickup;yes;1;1;z_Highly Rural/ Rural;17/05/2022 22:41;complet;dev_integral;[200€ - 400€]
